"model","ens","year","p_e","p_e_ano","pr","pr_ano","gmst_ano"
"CanESM5","r10i1p1f1",1850,-1.09958840184845,-0.23734306540573,2.14884483721107,0.322014495916665,-0.913833618164062
"CanESM5","r10i1p1f1",1851,-1.72527824761346,-0.86303291117074,1.11530557041988,-0.71152477087453,-0.914199829101562
"CanESM5","r10i1p1f1",1852,0.0809075776487589,0.943152914091479,2.54509910009801,0.718268758803606,-0.915328979492188
"CanESM5","r10i1p1f1",1853,0.671963451895863,1.53420878833858,3.42207363573834,1.59524329444394,-0.916885375976562
"CanESM5","r10i1p1f1",1854,-0.593085604486987,0.269159731955733,1.96427171467803,0.137441373383626,-0.918289184570312
"CanESM5","r10i1p1f1",1855,-1.40146170160733,-0.539216365164611,1.46586725022644,-0.36096309106797,-0.920547485351562
"CanESM5","r10i1p1f1",1856,-0.894228264223784,-0.031982927781064,1.83094727690332,0.00411693560890858,-0.922378540039062
"CanESM5","r10i1p1f1",1857,-0.749057368375361,0.113187968067359,2.47254618443549,0.645715843141079,-0.924057006835938
"CanESM5","r10i1p1f1",1858,-1.65998615557328,-0.797740819130558,1.50086913490668,-0.325961206387728,-0.928848266601562
"CanESM5","r10i1p1f1",1859,-0.646026752656326,0.216218583786394,2.07215120899491,0.245320867700502,-0.934677124023438
"CanESM5","r10i1p1f1",1860,-1.57068698317744,-0.708441646734718,1.60006801597774,-0.226762325316668,-0.940292358398438
"CanESM5","r10i1p1f1",1861,-1.35453587863594,-0.492290542193223,1.24912710743956,-0.577703233854845,-0.944381713867188
"CanESM5","r10i1p1f1",1862,-0.565047038253397,0.297198298189323,2.45488069485873,0.628050353564322,-0.944473266601562
"CanESM5","r10i1p1f1",1863,-0.679366348776966,0.182878987665754,1.83865113649517,0.0118207952007652,-0.943191528320312
"CanESM5","r10i1p1f1",1864,-1.35354042286053,-0.491295086417813,1.71202520141378,-0.114805139880627,-0.941390991210938
"CanESM5","r10i1p1f1",1865,-1.31847960292362,-0.456234266480897,1.42328629153781,-0.403544049756601,-0.936782836914062
"CanESM5","r10i1p1f1",1866,-1.41358051914722,-0.551335182704497,1.31033537909389,-0.516494962200522,-0.931411743164062
"CanESM5","r10i1p1f1",1867,-1.33690842194483,-0.474663085502107,1.16634923906531,-0.660481102229096,-0.926345825195312
