"model","ens","year","p_e","p_e_ano","pr","pr_ano","gmst_ano"
"CanESM5","r10i1p1f1",1850,-1.72662071418017,-0.716548335563857,2.88654200267047,0.0391415789374152,-0.913833618164062
"CanESM5","r10i1p1f1",1851,-2.69575899001211,-1.68568661139579,1.50181382778101,-1.34558659595204,-0.914199829101562
"CanESM5","r10i1p1f1",1852,0.479662895668298,1.48973527428461,3.69453399907798,0.847133575344924,-0.915328979492188
"CanESM5","r10i1p1f1",1853,2.86053819581866,3.87061057443498,6.13409404177219,3.28669361803914,-0.916885375976562
"CanESM5","r10i1p1f1",1854,2.08679276984185,3.09686514845816,4.96265413239598,2.11525370866293,-0.918289184570312
"CanESM5","r10i1p1f1",1855,-2.25894045433961,-1.24886807572329,1.80653676507063,-1.04086365866242,-0.920547485351562
"CanESM5","r10i1p1f1",1856,-1.67795779416338,-0.667885415547062,2.65865209512413,-0.188748328608926,-0.922378540039062
"CanESM5","r10i1p1f1",1857,-1.22576690046117,-0.215694521844853,3.13228442100808,0.284883997275029,-0.924057006835938
"CanESM5","r10i1p1f1",1858,-1.6368159558624,-0.626743577246089,2.85942832706496,0.0120279033319095,-0.928848266601562
"CanESM5","r10i1p1f1",1859,-1.54240764677525,-0.532335268158931,2.56216517882422,-0.285235244908836,-0.934677124023438
"CanESM5","r10i1p1f1",1860,-2.52608407172374,-1.51601169310743,1.96745893335901,-0.87994149037404,-0.940292358398438
"CanESM5","r10i1p1f1",1861,-2.03367921640165,-1.02360683778534,1.50127916713245,-1.3461212566006,-0.944381713867188
"CanESM5","r10i1p1f1",1862,-0.565865845419466,0.444206533196848,3.37476889835671,0.527368474623654,-0.944473266601562
"CanESM5","r10i1p1f1",1863,-0.901048409286886,0.109023969329428,2.86726750200614,0.0198670782730916,-0.943191528320312
"CanESM5","r10i1p1f1",1864,-1.19064871687442,-0.180576338258106,2.94787238817662,0.100471964443568,-0.941390991210938
"CanESM5","r10i1p1f1",1865,-2.21524491207674,-1.20517253346043,2.08500428125262,-0.762396142480429,-0.936782836914062
"CanESM5","r10i1p1f1",1866,-3.33774938480929,-2.32767700619297,0.533334762440063,-2.31406566129299,-0.931411743164062
"CanESM5","r10i1p1f1",1867,-1.51521539082751,-0.505143012211192,1.72510599950328,-1.12229442422977,-0.926345825195312
"CanESM5","r10i1p1f1",1868,-2.48886999324895,-1.47879761463264,2.27421773015521,-0.573182693577837,-0.917922973632812
"CanESM5","r10i1p1f1",1869,-2.58099240018055,-1.57092002156423,1.16329985030461,-1.68410057342844,-0.907638549804688
"CanESM5","r10i1p1f1",1870,-2.24625805858523,-1.23618567996891,1.02113983884919,-1.82626058488386,-0.899124145507812
"CanESM5","r10i1p1f1",1871,-1.12261479953304,-0.112542420916725,3.10299469856545,0.255594274832402,-0.891067504882812
"CanESM5","r10i1p1f1",1872,-0.45078273396939,0.559289644646924,3.2829946023412,0.435594178608153,-0.883193969726562
"CanESM5","r10i1p1f1",1873,-0.946161069441587,0.0639113091747276,3.21129444055259,0.363894016819541,-0.876693725585938
"CanESM5","r10i1p1f1",1874,1.57231595367193,2.58238833228825,4.9397793947719,2.09237897103885,-0.870925903320312
"CanESM5","r10i1p1f1",1875,-1.53468932840042,-0.524616949784104,2.60624765069224,-0.241152773040812,-0.864669799804688
"CanESM5","r10i1p1f1",1876,-0.709273398388177,0.300798980228137,3.78386601805687,0.936465594323818,-0.858352661132812
"CanESM5","r10i1p1f1",1877,-1.29147483967245,-0.281402461056132,2.60174924042076,-0.245651183312293,-0.853622436523438
"CanESM5","r10i1p1f1",1878,-1.72838782891631,-0.718315450299997,2.42984059732407,-0.417559826408978,-0.850448608398438
"CanESM5","r10i1p1f1",1879,0.420453865081072,1.43052624369739,3.88757321052253,1.04017278678948,-0.846878051757812
"CanESM5","r10i1p1f1",1880,0.607178674545139,1.61725105316145,4.71832050243393,1.87092007870087,-0.851791381835938
"CanESM5","r10i1p1f1",1881,-2.01254581916146,-1.00247344054515,1.60320038557984,-1.24420003815321,-0.862442016601562
"CanESM5","r10i1p1f1",1882,-2.61704396107234,-1.60697158245603,1.61753784050234,-1.22986258323072,-0.873123168945312
"CanESM5","r10i1p1f1",1883,-0.267918419558555,0.742153959057759,3.68076578015462,0.833365356421564,-0.889358520507812
"CanESM5","r10i1p1f1",1884,1.26697788946331,2.27705026807962,4.5272316550836,1.67983123135055,-0.908370971679688
"CanESM5","r10i1p1f1",1885,-1.62964502815157,-0.619572649535257,2.73303844733164,-0.114361976401415,-0.923385620117188
"CanESM5","r10i1p1f1",1886,-1.33847531396896,-0.328402935352642,2.93148618657142,0.0840857628383676,-0.937301635742188
"CanESM5","r10i1p1f1",1887,-1.62537905853242,-0.615306679916102,2.49016515444964,-0.35723526928341,-0.956771850585938
"CanESM5","r10i1p1f1",1888,-0.85685356752947,0.153218811086845,3.17651855293661,0.329118129203562,-0.974594116210938
"CanESM5","r10i1p1f1",1889,-1.6591543040704,-0.649081925454084,2.58076844620518,-0.266631977527868,-0.981948852539062
"CanESM5","r10i1p1f1",1890,0.663997605443001,1.67406998405932,4.25780575023964,1.41040532650659,-0.985183715820312
"CanESM5","r10i1p1f1",1891,-1.7732163425535,-0.763143963937182,1.98451919713989,-0.862881226593163,-0.982589721679688
"CanESM5","r10i1p1f1",1892,-3.48641679156572,-2.4763444129494,0.982173575903289,-1.86522684782976,-0.970413208007812
"CanESM5","r10i1p1f1",1893,-2.51782480627298,-1.50775242765667,1.65909474017099,-1.18830568356207,-0.958419799804688
