"model","ens","year","tx5d","tx5d_ano","gmst_ano"
"GFDLESM2","r01",1978,290.871978759766,1.3597527865706,-0.245662434768974
"GFDLESM2","r01",1979,289.927368164062,0.415142190867471,-0.233713509481902
"GFDLESM2","r01",1980,290.921112060547,1.40888608735185,-0.221734748897688
"GFDLESM2","r01",1981,290.116882324219,0.604656351023721,-0.209664268151244
"GFDLESM2","r01",1982,289.943756103516,0.431530130320596,-0.197425908161563
"GFDLESM2","r01",1983,290.530944824219,1.01871885102372,-0.185010622314337
"GFDLESM2","r01",1984,291.630584716797,2.11835874360185,-0.172409363995087
"GFDLESM2","r01",1985,290.381378173828,0.869152200633096,-0.159613086589502
"GFDLESM2","r01",1986,290.077758789062,0.565532815867471,-0.146612743483104
"GFDLESM2","r01",1987,291.039337158203,1.5271111850081,-0.133399288061696
"GFDLESM2","r01",1988,290.887756347656,1.37553037446122,-0.119963673710629
"GFDLESM2","r01",1989,290.996765136719,1.48453916352372,-0.10629685381582
"GFDLESM2","r01",1990,290.292785644531,0.780559671336221,-0.092389781762563
"GFDLESM2","r01",1991,290.714691162109,1.20246518891435,-0.0782334109367753
"GFDLESM2","r01",1992,290.719665527344,1.20743955414872,-0.06381869472375
"GFDLESM2","r01",1993,289.501861572266,-0.0103644009294044,-0.049136586509519
"GFDLESM2","r01",1994,289.589996337891,0.0777703646955956,-0.0341780396792615
"GFDLESM2","r01",1995,290.791168212891,1.2789422396956,-0.0189340076189524
"GFDLESM2","r01",1996,289.965362548828,0.453136575633096,-0.00339544371399825
"GFDLESM2","r01",1997,289.947784423828,0.435558450633096,0.0124466986499669
"GFDLESM2","r01",1998,290.639831542969,1.12760556977372,0.0286014660873093
"GFDLESM2","r01",1999,290.679870605469,1.16764463227372,0.0450779052122812
"GFDLESM2","r01",2000,291.007263183594,1.49503721039872,0.0618850626394192
"GFDLESM2","r01",2001,289.977661132812,0.465435159617471,0.0790319849830894
"GFDLESM2","r01",2002,290.273986816406,0.761760843211221,0.0965277188576579
"GFDLESM2","r01",2003,291.170471191406,1.65824521821122,0.114381310877434
"GFDLESM2","r01",2004,290.456787109375,0.944561136179971,0.132601807656954
"GFDLESM2","r01",2005,291.214416503906,1.70219053071122,0.151198255810471
"GFDLESM2","r01",2006,290.658264160156,1.14603818696122,0.170179701952407
"GFDLESM2","r01",2007,291.529327392578,2.0171014193831,0.189555192697128
"GFDLESM2","r01",2008,291.265594482422,1.75336850922685,0.209333774659171
"GFDLESM2","r01",2009,291.874877929688,2.36265195649247,0.229524494452676
"GFDLESM2","r01",2010,291.201507568359,1.68928159516435,0.250136398692121
"GFDLESM2","r01",2011,291.569610595703,2.0573846225081,0.271173738946572
"GFDLESM2","r01",2012,291.373138427734,1.86091245453935,0.292624454691236
"GFDLESM2","r01",2013,290.991302490234,1.47907651703935,0.314473124399797
"GFDLESM2","r01",2014,291.122955322266,1.6107293490706,0.336704326546112
"GFDLESM2","r01",2015,290.732086181641,1.2198602084456,0.359302639603868
"GFDLESM2","r01",2016,290.646270751953,1.1340447787581,0.382252642046751
"GFDLESM2","r01",2017,291.412414550781,1.90018857758622,0.405538912348504
"GFDLESM2","r01",2018,291.736083984375,2.22385801117997,0.429146028983155
"GFDLESM2","r01",2019,292.053283691406,2.54105771821122,0.453058570423934
"GFDLESM2","r01",2020,291.766021728516,2.2537957553206,0.477261115145097
"GFDLESM2","r01",2021,290.262268066406,0.750042093211221,0.501738241620046
"GFDLESM2","r01",2022,292.217834472656,2.70560849946122,0.526474528322751
"GFDLESM2","r01",2023,291.711120605469,2.19889463227372,0.551454553726785
"GFDLESM2","r01",2024,292.099029541016,2.5868035678206,0.576662896306004
"GFDLESM2","r01",2025,290.558380126953,1.0461541537581,0.602084134534095
"GFDLESM2","r01",2026,291.022888183594,1.51066221039872,0.627702846884858
"GFDLESM2","r01",2027,291.725982666016,2.2137566928206,0.653503611831979
"GFDLESM2","r01",2028,291.790161132812,2.27793515961747,0.679471007849259
"GFDLESM2","r01",2029,292.266479492188,2.75425351899247,0.705589613410439
"GFDLESM2","r01",2030,291.708465576172,2.19623960297685,0.731844006989149
"GFDLESM2","r01",2031,292.012145996094,2.49992002289872,0.758218767059248
"GFDLESM2","r01",2032,291.684234619141,2.1720086459456,0.784698472094533
"GFDLESM2","r01",2033,291.204803466797,1.69257749360185,0.811267700568578
"GFDLESM2","r01",2034,291.562622070312,2.05039609711747,0.837911030955354
"GFDLESM2","r01",2035,291.057342529297,1.54511655610185,0.864613041728433
"GFDLESM2","r01",2036,291.995056152344,2.48283017914872,0.8913583113615
"GFDLESM2","r01",2037,292.415618896484,2.90339292328935,0.918131418328471
"GFDLESM2","r01",2038,291.8076171875,2.29539121430497,0.944916941103031
"GFDLESM2","r01",2039,292.662078857422,3.14985288422685,0.971699458158923
"GFDLESM2","r01",2040,292.422821044922,2.91059507172685,0.998463547969948
"GFDLESM2","r01",2041,292.83544921875,3.32322324555497,1.02528167371264
"GFDLESM2","r01",2042,291.784149169922,2.27192319672685,1.05223205058496
"GFDLESM2","r01",2043,292.929809570312,3.41758359711747,1.07930788509225
"GFDLESM2","r01",2044,293.016693115234,3.50446714203935,1.10650238374018
"GFDLESM2","r01",2045,292.447998046875,2.93577207367997,1.13380875303432
"GFDLESM2","r01",2046,293.223541259766,3.7113152865706,1.16122019948006
"GFDLESM2","r01",2047,293.227569580078,3.7153436068831,1.18872992958291
"GFDLESM2","r01",2048,292.571258544922,3.05903257172685,1.21633114984854
