"model","ens","year","tx5d","tx5d_ano","gmst_ano"
"GFDLESM2","r01",1861,287.726348876953,0.645957157529608,-0.808682464174751
"GFDLESM2","r01",1862,289.707855224609,2.62746350518586,-0.806033137615373
"GFDLESM2","r01",1863,287.308746337891,0.228354618467108,-0.803409373239731
"GFDLESM2","r01",1864,287.481781005859,0.401389286435858,-0.80080873499054
"GFDLESM2","r01",1865,286.545959472656,-0.534432246767267,-0.798228786810455
"GFDLESM2","r01",1866,289.511352539062,2.43096081963898,-0.795667092642589
"GFDLESM2","r01",1867,289.279602050781,2.19921033135773,-0.793121216429654
"GFDLESM2","r01",1868,287.055328369141,-0.0250633502828919,-0.790588722114478
"GFDLESM2","r01",1869,288.311584472656,1.23119275323273,-0.788067173639661
"GFDLESM2","r01",1870,291.363372802734,4.28298108331086,-0.78555413494837
"GFDLESM2","r01",1871,288.129547119141,1.04915539971711,-0.783047169983206
"GFDLESM2","r01",1872,288.725128173828,1.64473645440461,-0.780543842686996
"GFDLESM2","r01",1873,289.902618408203,2.82222668877961,-0.778041717002566
"GFDLESM2","r01",1874,286.93408203125,-0.146309688173517,-0.775538356872801
"GFDLESM2","r01",1875,288.775054931641,1.69466321221711,-0.773031326240528
"GFDLESM2","r01",1876,289.713714599609,2.63332288018586,-0.770518189048516
"GFDLESM2","r01",1877,286.723022460938,-0.357369258486017,-0.767996509239424
"GFDLESM2","r01",1878,286.888519287109,-0.191872432314142,-0.765463850756305
"GFDLESM2","r01",1879,287.958312988281,0.877921268857733,-0.762917777541873
"GFDLESM2","r01",1880,290.253143310547,3.17275159112336,-0.760355853539011
"GFDLESM2","r01",1881,289.129333496094,2.04894177667023,-0.75777564269049
"GFDLESM2","r01",1882,289.487274169922,2.40688245049836,-0.755174708939023
"GFDLESM2","r01",1883,288.384674072266,1.30428235284211,-0.752550616227552
"GFDLESM2","r01",1884,287.284210205078,0.203818485654608,-0.749900928498903
"GFDLESM2","r01",1885,287.695373535156,0.614981815732733,-0.747223209695846
"GFDLESM2","r01",1886,290.937896728516,3.85750500909211,-0.74451502376121
"GFDLESM2","r01",1887,289.356872558594,2.27648083917023,-0.74177393463782
"GFDLESM2","r01",1888,288.925842285156,1.84545056573273,-0.738997506268504
"GFDLESM2","r01",1889,287.789459228516,0.709067509092108,-0.736183302595975
"GFDLESM2","r01",1890,285.496520996094,-1.58387072332977,-0.733328887563175
"GFDLESM2","r01",1891,286.911376953125,-0.169014766298517,-0.730473149207057
"GFDLESM2","r01",1892,289.201751708984,2.12135998956086,-0.72765415050776
"GFDLESM2","r01",1893,288.560913085938,1.48052136651398,-0.724868217822973
"GFDLESM2","r01",1894,286.274810791016,-0.805580928407892,-0.722111677510043
"GFDLESM2","r01",1895,288.176452636719,1.09606091729523,-0.719380855926829
"GFDLESM2","r01",1896,290.190551757812,3.11016003838898,-0.716672079430737
"GFDLESM2","r01",1897,289.672302246094,2.59191052667023,-0.713981674379397
"GFDLESM2","r01",1898,287.983245849609,0.902854130185858,-0.711305967130329
"GFDLESM2","r01",1899,289.996368408203,2.91597668877961,-0.708641284041335
"GFDLESM2","r01",1900,288.420440673828,1.34004895440461,-0.705983951469648
"GFDLESM2","r01",1901,289.472473144531,2.39208142510773,-0.703330295773071
"GFDLESM2","r01",1902,288.792602539062,1.71221081963898,-0.700676643309066
"GFDLESM2","r01",1903,287.212249755859,0.131858036435858,-0.698019320435321
"GFDLESM2","r01",1904,288.232482910156,1.15209119073273,-0.695354653509355
"GFDLESM2","r01",1905,289.946044921875,2.86565320245148,-0.692678968888799
"GFDLESM2","r01",1906,287.180328369141,0.0999366497171081,-0.689988592931172
"GFDLESM2","r01",1907,289.292419433594,2.21202771417023,-0.687279851993992
"GFDLESM2","r01",1908,288.987487792969,1.90709607354523,-0.684549072434891
"GFDLESM2","r01",1909,287.803283691406,0.722891971982733,-0.681792580611557
"GFDLESM2","r01",1910,290.215698242188,3.13530652276398,-0.679006702881509
"GFDLESM2","r01",1911,290.096008300781,3.01561658135773,-0.676187765602208
"GFDLESM2","r01",1912,288.180999755859,1.10060803643586,-0.673332095131343
"GFDLESM2","r01",1913,290.107788085938,3.02739636651398,-0.670436017826489
"GFDLESM2","r01",1914,287.3447265625,0.264334843076483,-0.667495860045108
"GFDLESM2","r01",1915,288.537109375,1.45671765557648,-0.664507948144944
"GFDLESM2","r01",1916,289.847076416016,2.76668469659211,-0.661468608483517
"GFDLESM2","r01",1917,289.754028320312,2.67363660088898,-0.658374167418401
"GFDLESM2","r01",1918,288.789794921875,1.70940320245148,-0.655220951307115
"GFDLESM2","r01",1919,287.145355224609,0.0649635051858581,-0.65200528650729
"GFDLESM2","r01",1920,290.715209960938,3.63481824151398,-0.648723499376501
"GFDLESM2","r01",1921,288.606903076172,1.52651135674836,-0.645388639738997
"GFDLESM2","r01",1922,288.374755859375,1.29436413995148,-0.642013997363506
"GFDLESM2","r01",1923,289.325103759766,2.24471204034211,-0.63859625852416
"GFDLESM2","r01",1924,289.492218017578,2.41182629815461,-0.635132109495089
"GFDLESM2","r01",1925,288.1513671875,1.07097546807648,-0.63161823655048
"GFDLESM2","r01",1926,289.760650634766,2.68025891534211,-0.628051325964577
"GFDLESM2","r01",1927,286.943328857422,-0.137062862001642,-0.624428064011454
"GFDLESM2","r01",1928,286.95068359375,-0.129708125673517,-0.62074513696524
"GFDLESM2","r01",1929,288.869049072266,1.78865735284211,-0.616999231100351
"GFDLESM2","r01",1930,290.248901367188,3.16850964776398,-0.613187032690632
"GFDLESM2","r01",1931,290.0771484375,2.99675671807648,-0.609305228010442
"GFDLESM2","r01",1932,290.756744384766,3.67635266534211,-0.605350503333909
"GFDLESM2","r01",1933,288.442016601562,1.36162488213898,-0.601319544935222
"GFDLESM2","r01",1934,287.139465332031,0.0590736126077331,-0.597209039088511
"GFDLESM2","r01",1935,290.444061279297,3.36366955987336,-0.593015672067907
"GFDLESM2","r01",1936,286.505889892578,-0.574501826845392,-0.588736130147709
"GFDLESM2","r01",1937,287.289306640625,0.208914921201483,-0.584367099601991
"GFDLESM2","r01",1938,289.788635253906,2.70824353448273,-0.579905266704941
"GFDLESM2","r01",1939,288.705261230469,1.62486951104523,-0.575347317730689
"GFDLESM2","r01",1940,288.0029296875,0.922537968076483,-0.570689938953535
"GFDLESM2","r01",1941,286.774078369141,-0.306313350282892,-0.56592981664744
"GFDLESM2","r01",1942,286.350891113281,-0.729500606142267,-0.561063637086761
"GFDLESM2","r01",1943,288.618499755859,1.53810803643586,-0.556088086545572
"GFDLESM2","r01",1944,288.293914794922,1.21352307549836,-0.550999851298059
"GFDLESM2","r01",1945,289.412536621094,2.33214490167023,-0.545795617618353
"GFDLESM2","r01",1946,287.528289794922,0.447898075498358,-0.540472071780641
"GFDLESM2","r01",1947,287.179718017578,0.0993262981546081,-0.535025900059225
"GFDLESM2","r01",1948,286.479919433594,-0.600472285829767,-0.529453788728063
"GFDLESM2","r01",1949,288.939300537109,1.85890881768586,-0.523752424061456
"GFDLESM2","r01",1950,287.754638671875,0.674246952451483,-0.517918492333536
"GFDLESM2","r01",1951,288.526092529297,1.44570080987336,-0.511825027350824
"GFDLESM2","r01",1952,288.478576660156,1.39818494073273,-0.505355515209828
"GFDLESM2","r01",1953,287.313903808594,0.233512089170233,-0.498522320620054
"GFDLESM2","r01",1954,287.868865966797,0.788474247373358,-0.491337808290666
"GFDLESM2","r01",1955,287.657592773438,0.577201054013983,-0.483814342931112
"GFDLESM2","r01",1956,287.065673828125,-0.0147178912985169,-0.475964289250612
"GFDLESM2","r01",1957,290.121276855469,3.04088513604523,-0.467800011958559
"GFDLESM2","r01",1958,287.701263427734,0.620871708310858,-0.459333875764173
"GFDLESM2","r01",1959,288.128784179688,1.04839246026398,-0.450578245377073
"GFDLESM2","r01",1960,289.063385009766,1.98299329034211,-0.441545485506253
